"lot_id","plot_id","lot_number","purchased_rights","remaining_rights","status","notes"
"ITB16-L3","ITB16","3","1","3","Unoccupied",
"ITB16-L2","ITB16","2","1","3","Partially Occupied",
"ITB16-L1","ITB16","1","1","3","Unoccupied",
"ITB17-L5","ITB17","5","1","3","Partially Occupied",
"ITB17-L4","ITB17","4","1","3","Unoccupied",
"ITB17-L3","ITB17","3","1","3","Unoccupied",
"ITB17-L2","ITB17","2","1","3","Unoccupied",
"ITB17-L1","ITB17","1","1","3","Unoccupied",
"ITB18-L5","ITB18","5","0","4","Available","Unpurchased"
"ITB18-L4","ITB18","4","0","4","Available","Unpurchased"
"ITB18-L3","ITB18","3","1","3","Unoccupied",
"ITB18-L2","ITB18","2","1","3","Unoccupied",
"ITB18-L1","ITB18","1","4","0","Fully Occupied",
"ITB19-L4","ITB19","4","0","4","Available","Unpurchased"
"ITB19-L3","ITB19","3","0","4","Available","Unpurchased"
"ITB19-L2","ITB19","2","0","4","Available","Unpurchased"
"ITB19-L1","ITB19","1","0","4","Available","Unpurchased"
"ITB2-L5","ITB2","5","1","3","Partially Occupied",
"ITB2-L4","ITB2","4","1","3","Partially Occupied",
"ITB2-L3","ITB2","3","0","4","Available","Unpurchased"
"ITB2-L2","ITB2","2","1","3","Partially Occupied",
"ITB2-L1","ITB2","1","1","3","Partially Occupied",
"ITB20-L5","ITB20","5","2","2","Unoccupied",
"ITB20-L4","ITB20","4","1","3","Unoccupied",
"ITB20-L3","ITB20","3","0","4","Available","Unpurchased"
"ITB20-L2","ITB20","2","0","4","Available","Unpurchased"
"ITB20-L1","ITB20","1","0","4","Available","Unpurchased"
"ITB21-L5","ITB21","5","2","2","Unoccupied",
"ITB21-L4","ITB21","4","0","4","Available","Unpurchased"
"ITB21-L3","ITB21","3","0","4","Available","Unpurchased"
"ITB21-L2","ITB21","2","1","3","Partially Occupied",
"ITB21-L1","ITB21","1","1","3","Partially Occupied",
"ITB22-L5","ITB22","5","4","0","Fully Occupied",
"ITB22-L4","ITB22","4","4","0","Unoccupied",
"ITB22-L3","ITB22","3","4","0","Unoccupied",
"ITB22-L2","ITB22","2","4","0","Unoccupied",
"ITB22-L1","ITB22","1","2","2","Unoccupied",
"ITB23-L5","ITB23","5","0","4","Available","Unpurchased"
"ITB23-L4","ITB23","4","0","4","Available","Unpurchased"
"ITB23-L3","ITB23","3","0","4","Available","Unpurchased"
"ITB23-L2","ITB23","2","0","4","Available","Unpurchased"
"ITB23-L1","ITB23","1","0","4","Available","Unpurchased"
"ITB3-L4","ITB3","4","1","3","Partially Occupied",
"ITB3-L3","ITB3","3","1","3","Partially Occupied",
"ITB3-L2","ITB3","2","1","3","Unoccupied",
"ITB3-L1","ITB3","1","1","3","Unoccupied",
"ITB4-L4","ITB4","4","1","3","Unoccupied",
"ITB4-L3","ITB4","3","1","3","Partially Occupied",
"ITB4-L2","ITB4","2","1","3","Unoccupied",
"ITB4-L1","ITB4","1","1","3","Partially Occupied",
"ITB5-L5","ITB5","5","1","3","Unoccupied",
"ITB5-L4","ITB5","4","1","3","Partially Occupied",
"ITB5-L3","ITB5","3","1","3","Partially Occupied",
"ITB5-L2","ITB5","2","1","3","Partially Occupied",
"ITB5-L1","ITB5","1","1","3","Unoccupied",
"ITB6-L3","ITB6","3","1","3","Partially Occupied",
"ITB6-L2","ITB6","2","1","3","Partially Occupied",
"ITB6-L1","ITB6","1","1","3","Unoccupied",
"ITB7-L4","ITB7","4","1","3","Partially Occupied",
"ITB7-L3","ITB7","3","1","3","Partially Occupied",
"ITB7-L2","ITB7","2","1","3","Partially Occupied",
"ITB7-L1","ITB7","1","1","3","Partially Occupied",
"ITB8-L5","ITB8","5","0","4","Available","Unpurchased"
"ITB8-L4","ITB8","4","0","4","Available","Unpurchased"
"ITB8-L3","ITB8","3","0","4","Available","Unpurchased"
"ITB8-L2","ITB8","2","1","3","Unoccupied",
"ITB8-L1","ITB8","1","1","3","Unoccupied",
"ITB9-L5","ITB9","5","1","3","Unoccupied",
"ITB9-L4","ITB9","4","1","3","Partially Occupied",
"ITB9-L3","ITB9","3","1","3","Partially Occupied",
"ITB9-L2","ITB9","2","1","3","Unoccupied",
"ITB9-L1","ITB9","1","1","3","Unoccupied",
"ITC1-L5","ITC1","5","1","3","Unoccupied",
"ITC1-L4","ITC1","4","1","3","Unoccupied",
"ITC1-L3","ITC1","3","1","3","Unoccupied",
"ITC1-L2","ITC1","2","1","3","Partially Occupied",
"ITC1-L1","ITC1","1","1","3","Partially Occupied",
"ITC10-L5","ITC10","5","0","4","Available","Unpurchased"
"ITC10-L4","ITC10","4","0","4","Available","Unpurchased"
"ITC10-L3","ITC10","3","0","4","Available","Unpurchased"
"ITC10-L2","ITC10","2","0","4","Available","Unpurchased"
"ITC10-L1","ITC10","1","0","4","Available","Unpurchased"
"ITC11-L5","ITC11","5","0","4","Available","Unpurchased"
"ITC11-L4","ITC11","4","0","4","Available","Unpurchased"
"ITC11-L3","ITC11","3","0","4","Available","Unpurchased"
"ITC11-L2","ITC11","2","0","4","Available","Unpurchased"
"ITC11-L1","ITC11","1","0","4","Available","Unpurchased"
"ITC12-L5","ITC12","5","0","4","Available","Unpurchased"
"ITC12-L4","ITC12","4","0","4","Available","Unpurchased"
"ITC12-L3","ITC12","3","0","4","Available","Unpurchased"
"ITC12-L2","ITC12","2","0","4","Available","Unpurchased"
"ITC12-L1","ITC12","1","0","4","Available","Unpurchased"
"ITC13-L5","ITC13","5","1","3","Unoccupied",
"ITC13-L4","ITC13","4","1","3","Unoccupied",
"ITC13-L3","ITC13","3","1","3","Partially Occupied",
"ITC13-L2","ITC13","2","1","3","Unoccupied",
"ITC13-L1","ITC13","1","1","3","Unoccupied",
"ITC14-L5","ITC14","5","0","4","Available","Unpurchased"
"ITC14-L4","ITC14","4","1","3","Partially Occupied",
"ITC14-L3","ITC14","3","1","3","Partially Occupied",
"ITC14-L2","ITC14","2","0","4","Available","Unpurchased"
"ITC14-L1","ITC14","1","0","4","Available","Unpurchased"
"ITC15-L5","ITC15","5","0","4","Available","Unpurchased"
"ITC15-L4","ITC15","4","0","4","Available","Unpurchased"
"ITC15-L3","ITC15","3","0","4","Available","Unpurchased"
"ITC15-L2","ITC15","2","0","4","Available","Unpurchased"
"ITC15-L1","ITC15","1","0","4","Available","Unpurchased"
"ITC16-L5","ITC16","5","1","3","Unoccupied",
"ITC16-L4","ITC16","4","1","3","Unoccupied",
"ITC16-L3","ITC16","3","1","3","Unoccupied",
"ITC16-L2","ITC16","2","1","3","Partially Occupied",
"ITC16-L1","ITC16","1","1","3","Partially Occupied",
"ITC17-L5","ITC17","5","1","3","Partially Occupied",
"ITC17-L4","ITC17","4","1","3","Partially Occupied",
"ITC17-L3","ITC17","3","1","3","Partially Occupied",
"ITC17-L2","ITC17","2","1","3","Partially Occupied",
"ITC17-L1","ITC17","1","1","3","Partially Occupied",
"ITC2-L5","ITC2","5","1","3","Unoccupied",
"ITC2-L4","ITC2","4","1","3","Partially Occupied",
"ITC2-L3","ITC2","3","1","3","Partially Occupied",
"ITC2-L2","ITC2","2","1","3","Unoccupied",
"ITC2-L1","ITC2","1","1","3","Unoccupied",
"ITC3-L5","ITC3","5","0","4","Available","Unpurchased"
"ITC3-L4","ITC3","4","0","4","Available","Unpurchased"
"ITC3-L3","ITC3","3","2","2","Partially Occupied",
"ITC3-L2","ITC3","2","1","3","Unoccupied",
"ITC3-L1","ITC3","1","2","2","Partially Occupied",
"ITC4-L5","ITC4","5","0","4","Available","Unpurchased"
"ITC4-L4","ITC4","4","0","4","Available","Unpurchased"
"ITC4-L3","ITC4","3","0","4","Available","Unpurchased"
"ITC4-L2","ITC4","2","0","4","Available","Unpurchased"
"ITC4-L1","ITC4","1","0","4","Available","Unpurchased"
"ITC5-L5","ITC5","5","0","4","Available","Unpurchased"
"ITC5-L4","ITC5","4","0","4","Available","Unpurchased"
"ITC5-L3","ITC5","3","0","4","Available","Unpurchased"
"ITC5-L2","ITC5","2","1","3","Unoccupied",
"ITC5-L1","ITC5","1","1","3","Unoccupied",
"ITC6-L5","ITC6","5","0","4","Available","Unpurchased"
"ITC6-L4","ITC6","4","0","4","Available","Unpurchased"
"ITC6-L3","ITC6","3","4","0","Fully Occupied",
"ITC6-L2","ITC6","2","1","3","Unoccupied",
"ITC6-L1","ITC6","1","1","3","Partially Occupied",
"ITC7-L5","ITC7","5","0","4","Available","Unpurchased"
"ITC7-L4","ITC7","4","0","4","Available","Unpurchased"
"ITC7-L3","ITC7","3","0","4","Available","Unpurchased"
"ITC7-L2","ITC7","2","0","4","Available","Unpurchased"
"ITC7-L1","ITC7","1","0","4","Available","Unpurchased"
"ITC8-L5","ITC8","5","0","4","Available","Unpurchased"
"ITC8-L4","ITC8","4","0","4","Available","Unpurchased"
"ITC8-L3","ITC8","3","0","4","Available","Unpurchased"
"ITC8-L2","ITC8","2","0","4","Available","Unpurchased"
"ITC8-L1","ITC8","1","0","4","Available","Unpurchased"
"ITC9-L5","ITC9","5","0","4","Available","Unpurchased"
"ITC9-L4","ITC9","4","0","4","Available","Unpurchased"
"ITC9-L3","ITC9","3","0","4","Available","Unpurchased"
"ITC9-L2","ITC9","2","0","4","Available","Unpurchased"
